dataset,backbone,variant,split,selected_depth,val_metric,test_metric,metric_name,source
roman-empire,GT-sep,ENS,3,5,0.8891438245773315,0.881574273109436,acc,results2/roman_empire/ensemble.csv
roman-empire,GT-sep,ENS,4,5,0.8838481903076172,0.8836921453475952,acc,results2/roman_empire/ensemble.csv
roman-empire,GT-sep,ENS,5,5,0.8829655647277832,0.8873984813690186,acc,results2/roman_empire/ensemble.csv
roman-empire,GT-sep,ENS,6,5,0.8810238242149353,0.8810448050498962,acc,results2/roman_empire/ensemble.csv
roman-empire,GT-sep,ENS,7,5,0.8753750920295715,0.8780444264411926,acc,results2/roman_empire/ensemble.csv
roman-empire,GT-sep,ENS,8,5,0.8820829391479492,0.8778679370880127,acc,results2/roman_empire/ensemble.csv
roman-empire,GT-sep,ENS,9,5,0.8854368925094604,0.8801623582839966,acc,results2/roman_empire/ensemble.csv
roman-empire,ResNet,ENS,0,2,0.6578993797302246,0.6583127379417419,acc,results2/roman_empire/ensemble.csv
roman-empire,ResNet,ENS,1,1,0.6670785546302795,0.6673137545585632,acc,results2/roman_empire/ensemble.csv
roman-empire,ResNet,ENS,2,2,0.6570167541503906,0.6616660356521606,acc,results2/roman_empire/ensemble.csv
roman-empire,ResNet,ENS,3,4,0.6568402051925659,0.6660783290863037,acc,results2/roman_empire/ensemble.csv
roman-empire,ResNet,ENS,4,2,0.6577228307723999,0.6604306101799011,acc,results2/roman_empire/ensemble.csv
roman-empire,ResNet,ENS,5,2,0.6586054563522339,0.6659018397331238,acc,results2/roman_empire/ensemble.csv
roman-empire,ResNet,ENS,6,1,0.655781090259552,0.6576067805290222,acc,results2/roman_empire/ensemble.csv
roman-empire,ResNet,ENS,7,1,0.6587820053100586,0.6621955037117004,acc,results2/roman_empire/ensemble.csv
roman-empire,ResNet,ENS,8,4,0.6559576392173767,0.6660783290863037,acc,results2/roman_empire/ensemble.csv
roman-empire,ResNet,ENS,9,1,0.6587820053100586,0.6507235765457153,acc,results2/roman_empire/ensemble.csv
roman-empire,TAG,ENS,0,5,0.8824359774589539,0.8775149583816528,acc,results2/roman_empire/ensemble.csv
roman-empire,TAG,ENS,1,5,0.8926742672920227,0.8932226896286011,acc,results2/roman_empire/ensemble.csv
roman-empire,TAG,ENS,2,5,0.8776698708534241,0.8859865665435791,acc,results2/roman_empire/ensemble.csv
roman-empire,TAG,ENS,3,5,0.8863194584846497,0.876985490322113,acc,results2/roman_empire/ensemble.csv
roman-empire,TAG,ENS,4,5,0.8854368925094604,0.8801623582839966,acc,results2/roman_empire/ensemble.csv
roman-empire,TAG,ENS,5,5,0.8822594881057739,0.8937521576881409,acc,results2/roman_empire/ensemble.csv
roman-empire,TAG,ENS,6,5,0.8842012286186218,0.8852806091308594,acc,results2/roman_empire/ensemble.csv
roman-empire,TAG,ENS,7,4,0.8743159770965576,0.8776914477348328,acc,results2/roman_empire/ensemble.csv
roman-empire,TAG,ENS,8,5,0.8790820837020874,0.8783974051475525,acc,results2/roman_empire/ensemble.csv
roman-empire,TAG,ENS,9,4,0.8880847096443176,0.8843981623649597,acc,results2/roman_empire/ensemble.csv
roman-empire,GCN,GNNM,0,5,0.781818151473999,0.7728555798530579,acc,results2/roman_empire/tabm.csv
roman-empire,GCN,GNNM,1,4,0.7719328999519348,0.7717966437339783,acc,results2/roman_empire/tabm.csv
roman-empire,GCN,GNNM,2,5,0.7793468236923218,0.7797387838363647,acc,results2/roman_empire/tabm.csv
roman-empire,GCN,GNNM,3,5,0.7726389765739441,0.7728555798530579,acc,results2/roman_empire/tabm.csv
roman-empire,GCN,GNNM,4,5,0.7902912497520447,0.7820331454277039,acc,results2/roman_empire/tabm.csv
roman-empire,GCN,GNNM,5,4,0.7812886238098145,0.7822096347808838,acc,results2/roman_empire/tabm.csv
roman-empire,GCN,GNNM,6,4,0.7618710994720459,0.7679138779640198,acc,results2/roman_empire/tabm.csv
roman-empire,GCN,GNNM,7,5,0.7821711897850037,0.7859159708023071,acc,results2/roman_empire/tabm.csv
roman-empire,GCN,GNNM,8,5,0.7805824875831604,0.7786798477172852,acc,results2/roman_empire/tabm.csv
roman-empire,GCN,GNNM,9,5,0.7791703343391418,0.7799152731895447,acc,results2/roman_empire/tabm.csv
