dataset,model,variant,k,num_layers,hidden_dim,lr,num_params,mean_step_ms,std_step_ms,peak_mem_mb
amazon-ratings,GT-sep,ENS_k4,4,4,512,3e-05,34275348,617.776,0.412,8328.5
amazon-ratings,GT-sep,TABM_k2,2,4,512,3e-05,8572012,311.951,0.231,8036.9
amazon-ratings,GT-sep,TABM_k4,4,4,512,3e-05,8575704,623.798,0.752,8037.0
amazon-ratings,GT-sep,TABM_k8,8,4,512,3e-05,8583088,1247.233,1.524,8037.1
amazon-ratings,GT-sep,BASE,1,5,512,3e-05,10671621,192.612,0.203,9631.9
amazon-ratings,GT-sep,ENS_k4,4,5,512,3e-05,42686484,769.445,0.537,10125.7
amazon-ratings,GT-sep,TABM_k2,2,5,512,3e-05,10674796,388.115,0.507,9745.4
amazon-ratings,GT-sep,TABM_k4,4,5,512,3e-05,10678488,774.734,0.607,9745.5
amazon-ratings,GT-sep,TABM_k8,8,5,512,3e-05,10685872,1550.816,1.495,9745.6
amazon-ratings,TAG,BASE,1,1,512,3e-05,1733125,35.964,0.097,1244.3
amazon-ratings,TAG,ENS_k4,4,1,512,3e-05,6932500,143.015,0.301,1323.6
amazon-ratings,TAG,TABM_k2,2,1,512,3e-05,1736300,74.485,0.126,1323.7
amazon-ratings,TAG,TABM_k4,4,1,512,3e-05,1739992,148.717,0.354,1323.8
amazon-ratings,TAG,TABM_k8,8,1,512,3e-05,1747376,297.489,0.822,1323.9
amazon-ratings,TAG,BASE,1,2,512,3e-05,3308549,68.786,0.103,1669.9
amazon-ratings,TAG,ENS_k4,4,2,512,3e-05,13234196,274.123,0.315,1821.4
amazon-ratings,TAG,TABM_k2,2,2,512,3e-05,3311724,140.585,0.248,1755.5
amazon-ratings,TAG,TABM_k4,4,2,512,3e-05,3315416,280.275,0.646,1755.6
amazon-ratings,TAG,TABM_k8,8,2,512,3e-05,3322800,560.478,1.344,1755.7
amazon-ratings,TAG,BASE,1,3,512,3e-05,4883973,101.577,0.138,2095.5
amazon-ratings,TAG,ENS_k4,4,3,512,3e-05,19535892,405.363,0.331,2319.1
amazon-ratings,TAG,TABM_k2,2,3,512,3e-05,4887148,206.125,0.352,2187.3
amazon-ratings,TAG,TABM_k4,4,3,512,3e-05,4890840,411.444,0.646,2187.4
amazon-ratings,TAG,TABM_k8,8,3,512,3e-05,4898224,822.145,1.242,2187.5
amazon-ratings,TAG,BASE,1,4,512,3e-05,6459397,134.342,0.134,2521.2
amazon-ratings,TAG,ENS_k4,4,4,512,3e-05,25837588,536.319,0.325,2816.8
amazon-ratings,TAG,TABM_k2,2,4,512,3e-05,6462572,271.413,0.309,2619.0
amazon-ratings,TAG,TABM_k4,4,4,512,3e-05,6466264,542.425,0.587,2619.0
amazon-ratings,TAG,TABM_k8,8,4,512,3e-05,6473648,1084.76,1.454,2619.1
amazon-ratings,TAG,BASE,1,5,512,3e-05,8034821,167.137,0.153,2946.8
amazon-ratings,TAG,ENS_k4,4,5,512,3e-05,32139284,667.925,0.405,3314.6
amazon-ratings,TAG,TABM_k2,2,5,512,3e-05,8037996,336.913,0.232,3050.6
amazon-ratings,TAG,TABM_k4,4,5,512,3e-05,8041688,673.814,0.723,3050.7
amazon-ratings,TAG,TABM_k8,8,5,512,3e-05,8049072,1346.106,1.006,3050.8
